Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-6.437231	-6.437231
1	0.950747	7500	-6.395131	-12.832362
2	0.926679	7500	-6.279518	-19.111880
3	0.902980	7500	-6.209032	-25.320912
4	0.879648	7500	-6.133270	-31.454182
5	0.856682	7500	-6.025975	-37.480156
6	0.834079	7500	-5.968346	-43.448502
7	0.811838	7500	-5.868760	-49.317262
8	0.789957	7500	-5.805494	-55.122756
9	0.768433	7500	-5.714917	-60.837673
10	0.747266	7500	-5.685535	-66.523208
11	0.726452	7500	-5.545121	-72.068329
12	0.705989	7500	-5.476533	-77.544862
13	0.685877	7500	-5.389633	-82.934494
14	0.666112	7500	-5.330448	-88.264942
15	0.646693	7500	-5.277803	-93.542746
16	0.627618	7500	-5.185122	-98.727868
17	0.608884	7500	-5.084599	-103.812466
18	0.590490	7500	-5.008882	-108.821349
19	0.572433	7500	-4.962035	-113.783384
20	0.554712	7500	-4.872465	-118.655849
21	0.537324	7500	-4.807447	-123.463296
22	0.520268	7500	-4.722712	-128.186008
23	0.503540	7500	-4.627085	-132.813093
24	0.487139	7500	-4.570362	-137.383455
25	0.471063	7500	-4.496263	-141.879718
26	0.455310	7500	-4.442478	-146.322195
27	0.439877	7500	-4.376675	-150.698871
28	0.424762	7500	-4.281956	-154.980827
29	0.409963	7500	-4.234796	-159.215622
30	0.395478	7500	-4.151771	-163.367393
31	0.381305	7500	-4.076047	-167.443440
32	0.367440	7500	-4.000413	-171.443853
33	0.353883	7500	-3.942750	-175.386603
34	0.340630	7500	-3.869664	-179.256267
35	0.327680	7500	-3.798208	-183.054475
36	0.315030	7500	-3.732508	-186.786983
37	0.302677	7500	-3.663266	-190.450249
38	0.290619	7500	-3.604347	-194.054597
39	0.278855	7500	-3.523003	-197.577600
40	0.267381	7500	-3.457951	-201.035551
41	0.256195	7500	-3.390142	-204.425693
42	0.245294	7500	-3.321637	-207.747330
43	0.234677	7500	-3.255472	-211.002802
44	0.224340	7500	-3.187880	-214.190682
45	0.214281	7500	-3.120415	-217.311097
46	0.204498	7500	-3.064968	-220.376065
47	0.194988	7500	-2.988841	-223.364906
48	0.185749	7500	-2.914844	-226.279750
49	0.176777	7500	-2.858000	-229.137750
50	0.168070	7500	-2.781980	-231.919730
51	0.159626	7500	-2.731571	-234.651301
52	0.151441	7500	-2.657144	-237.308446
53	0.143514	7500	-2.581770	-239.890216
54	0.135841	7500	-2.520510	-242.410725
55	0.128420	7500	-2.461087	-244.871813
56	0.121247	7500	-2.385131	-247.256943
57	0.114320	7500	-2.320072	-249.577015
58	0.107637	7500	-2.254075	-251.831090
59	0.101193	7500	-2.182933	-254.014024
60	0.094986	7500	-2.131701	-256.145724
61	0.089014	7500	-2.054094	-258.199819
62	0.083273	7500	-1.989851	-260.189670
63	0.077760	7500	-1.920438	-262.110108
64	0.072472	7500	-1.862372	-263.972480
65	0.067406	7500	-1.791294	-265.763773
66	0.062558	7500	-1.726790	-267.490563
67	0.057926	7500	-1.659830	-269.150393
68	0.053506	7500	-1.604615	-270.755008
69	0.049295	7500	-1.527478	-272.282486
70	0.045289	7500	-1.469478	-273.751964
71	0.041485	7500	-1.405467	-275.157431
72	0.037880	7500	-1.335062	-276.492493
73	0.034469	7500	-1.280387	-277.772880
74	0.031250	7500	-1.212061	-278.984941
75	0.028218	7500	-1.137246	-280.122187
76	0.025370	7500	-1.079323	-281.201510
77	0.022702	7500	-1.023379	-282.224889
78	0.020209	7500	-0.968271	-283.193160
79	0.017889	7500	-0.885984	-284.079144
80	0.015736	7500	-0.836532	-284.915676
81	0.013746	7500	-0.776887	-285.692564
82	0.011916	7500	-0.713374	-286.405938
83	0.010240	7500	-0.657458	-287.063395
84	0.008714	7500	-0.601950	-287.665346
85	0.007334	7500	-0.548488	-288.213834
86	0.006093	7500	-0.485441	-288.699274
87	0.004988	7500	-0.433169	-289.132443
88	0.004013	7500	-0.386496	-289.518939
89	0.003162	7500	-0.338991	-289.857930
90	0.002430	7500	-0.295506	-290.153436
91	0.001810	7500	-0.249126	-290.402562
92	0.001296	7500	-0.207996	-290.610558
93	0.000882	7500	-0.166876	-290.777434
94	0.000559	7500	-0.128882	-290.906317
95	0.000320	7500	-0.096521	-291.002838
96	0.000156	7500	-0.067341	-291.070179
97	0.000057	7500	-0.039853	-291.110032
98	0.000010	7500	-0.019053	-291.129085
99	0.000000	7500	-0.004051	-291.133136
Log marginal likelihood:	-291.133136
