Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-5.484080	-5.484080
1	0.950747	7500	-5.464118	-10.948198
2	0.926679	7500	-5.349347	-16.297545
3	0.902980	7500	-5.292439	-21.589985
4	0.879648	7500	-5.194655	-26.784640
5	0.856682	7500	-5.114277	-31.898917
6	0.834079	7500	-5.057543	-36.956460
7	0.811838	7500	-4.986101	-41.942560
8	0.789957	7500	-4.913185	-46.855746
9	0.768433	7500	-4.832550	-51.688296
10	0.747266	7500	-4.765752	-56.454048
11	0.726452	7500	-4.686272	-61.140320
12	0.705989	7500	-4.613892	-65.754211
13	0.685877	7500	-4.551831	-70.306043
14	0.666112	7500	-4.451373	-74.757416
15	0.646693	7500	-4.412537	-79.169954
16	0.627618	7500	-4.330249	-83.500203
17	0.608884	7500	-4.274422	-87.774625
18	0.590490	7500	-4.225360	-91.999985
19	0.572433	7500	-4.150940	-96.150925
20	0.554712	7500	-4.074924	-100.225849
21	0.537324	7500	-4.014695	-104.240544
22	0.520268	7500	-3.938265	-108.178809
23	0.503540	7500	-3.874362	-112.053171
24	0.487139	7500	-3.814580	-115.867751
25	0.471063	7500	-3.726803	-119.594555
26	0.455310	7500	-3.685598	-123.280152
27	0.439877	7500	-3.629062	-126.909214
28	0.424762	7500	-3.560553	-130.469767
29	0.409963	7500	-3.498736	-133.968503
30	0.395478	7500	-3.438385	-137.406888
31	0.381305	7500	-3.382691	-140.789579
32	0.367440	7500	-3.315434	-144.105012
33	0.353883	7500	-3.254560	-147.359572
34	0.340630	7500	-3.193431	-150.553004
35	0.327680	7500	-3.140373	-153.693376
36	0.315030	7500	-3.079689	-156.773065
37	0.302677	7500	-3.030602	-159.803667
38	0.290619	7500	-2.960729	-162.764396
39	0.278855	7500	-2.912290	-165.676686
40	0.267381	7500	-2.848388	-168.525074
41	0.256195	7500	-2.798530	-171.323604
42	0.245294	7500	-2.755884	-174.079488
43	0.234677	7500	-2.688845	-176.768333
44	0.224340	7500	-2.635422	-179.403755
45	0.214281	7500	-2.573807	-181.977562
46	0.204498	7500	-2.526409	-184.503972
47	0.194988	7500	-2.476302	-186.980274
48	0.185749	7500	-2.407027	-189.387300
49	0.176777	7500	-2.365007	-191.752308
50	0.168070	7500	-2.310944	-194.063251
51	0.159626	7500	-2.255503	-196.318754
52	0.151441	7500	-2.208033	-198.526788
53	0.143514	7500	-2.149225	-200.676012
54	0.135841	7500	-2.104933	-202.780945
55	0.128420	7500	-2.053926	-204.834872
56	0.121247	7500	-1.986317	-206.821189
57	0.114320	7500	-1.932245	-208.753433
58	0.107637	7500	-1.886029	-210.639463
59	0.101193	7500	-1.824562	-212.464025
60	0.094986	7500	-1.776228	-214.240253
61	0.089014	7500	-1.726632	-215.966885
62	0.083273	7500	-1.678591	-217.645476
63	0.077760	7500	-1.629881	-219.275357
64	0.072472	7500	-1.568408	-220.843766
65	0.067406	7500	-1.512796	-222.356562
66	0.062558	7500	-1.459949	-223.816511
67	0.057926	7500	-1.409773	-225.226284
68	0.053506	7500	-1.356015	-226.582299
69	0.049295	7500	-1.307602	-227.889901
70	0.045289	7500	-1.252221	-229.142121
71	0.041485	7500	-1.196922	-230.339044
72	0.037880	7500	-1.154034	-231.493078
73	0.034469	7500	-1.085936	-232.579014
74	0.031250	7500	-1.036748	-233.615762
75	0.028218	7500	-0.994171	-234.609933
76	0.025370	7500	-0.931186	-235.541119
77	0.022702	7500	-0.880715	-236.421835
78	0.020209	7500	-0.829069	-237.250904
79	0.017889	7500	-0.777121	-238.028025
80	0.015736	7500	-0.722424	-238.750449
81	0.013746	7500	-0.677947	-239.428396
82	0.011916	7500	-0.624297	-240.052693
83	0.010240	7500	-0.577063	-240.629757
84	0.008714	7500	-0.523696	-241.153453
85	0.007334	7500	-0.482218	-241.635670
86	0.006093	7500	-0.432485	-242.068156
87	0.004988	7500	-0.390972	-242.459127
88	0.004013	7500	-0.344938	-242.804066
89	0.003162	7500	-0.303746	-243.107812
90	0.002430	7500	-0.262007	-243.369818
91	0.001810	7500	-0.223060	-243.592878
92	0.001296	7500	-0.185200	-243.778079
93	0.000882	7500	-0.148920	-243.926999
94	0.000559	7500	-0.116961	-244.043960
95	0.000320	7500	-0.086304	-244.130264
96	0.000156	7500	-0.059237	-244.189501
97	0.000057	7500	-0.035939	-244.225440
98	0.000010	7500	-0.016989	-244.242429
99	0.000000	7500	-0.003590	-244.246019
Log marginal likelihood:	-244.246019
