Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-5.793625	-5.793625
1	0.950747	7500	-5.664552	-11.458176
2	0.926679	7500	-5.595101	-17.053278
3	0.902980	7500	-5.577692	-22.630969
4	0.879648	7500	-5.458805	-28.089774
5	0.856682	7500	-5.418256	-33.508030
6	0.834079	7500	-5.311928	-38.819958
7	0.811838	7500	-5.237767	-44.057726
8	0.789957	7500	-5.186592	-49.244317
9	0.768433	7500	-5.076285	-54.320602
10	0.747266	7500	-5.019637	-59.340239
11	0.726452	7500	-4.986775	-64.327015
12	0.705989	7500	-4.895008	-69.222023
13	0.685877	7500	-4.823428	-74.045451
14	0.666112	7500	-4.774203	-78.819654
15	0.646693	7500	-4.683430	-83.503084
16	0.627618	7500	-4.586382	-88.089466
17	0.608884	7500	-4.521051	-92.610517
18	0.590490	7500	-4.493478	-97.103996
19	0.572433	7500	-4.376851	-101.480846
20	0.554712	7500	-4.342536	-105.823382
21	0.537324	7500	-4.274706	-110.098088
22	0.520268	7500	-4.208973	-114.307060
23	0.503540	7500	-4.181535	-118.488596
24	0.487139	7500	-4.074486	-122.563082
25	0.471063	7500	-3.997772	-126.560854
26	0.455310	7500	-3.992653	-130.553507
27	0.439877	7500	-3.885399	-134.438906
28	0.424762	7500	-3.790254	-138.229160
29	0.409963	7500	-3.785796	-142.014956
30	0.395478	7500	-3.725601	-145.740557
31	0.381305	7500	-3.666885	-149.407442
32	0.367440	7500	-3.564642	-152.972084
33	0.353883	7500	-3.526494	-156.498578
34	0.340630	7500	-3.452093	-159.950671
35	0.327680	7500	-3.414491	-163.365163
36	0.315030	7500	-3.371582	-166.736745
37	0.302677	7500	-3.286311	-170.023056
38	0.290619	7500	-3.242233	-173.265290
39	0.278855	7500	-3.162661	-176.427951
40	0.267381	7500	-3.120853	-179.548804
41	0.256195	7500	-3.069331	-182.618134
42	0.245294	7500	-3.011723	-185.629857
43	0.234677	7500	-2.945877	-188.575734
44	0.224340	7500	-2.904678	-191.480412
45	0.214281	7500	-2.805583	-194.285995
46	0.204498	7500	-2.762986	-197.048981
47	0.194988	7500	-2.706376	-199.755358
48	0.185749	7500	-2.638760	-202.394118
49	0.176777	7500	-2.581451	-204.975569
50	0.168070	7500	-2.520338	-207.495907
51	0.159626	7500	-2.462497	-209.958404
52	0.151441	7500	-2.398865	-212.357269
53	0.143514	7500	-2.345240	-214.702508
54	0.135841	7500	-2.294068	-216.996577
55	0.128420	7500	-2.248167	-219.244743
56	0.121247	7500	-2.169435	-221.414179
57	0.114320	7500	-2.109652	-223.523831
58	0.107637	7500	-2.032142	-225.555973
59	0.101193	7500	-1.976877	-227.532850
60	0.094986	7500	-1.928767	-229.461617
61	0.089014	7500	-1.875097	-231.336715
62	0.083273	7500	-1.806604	-233.143319
63	0.077760	7500	-1.764014	-234.907333
64	0.072472	7500	-1.682550	-236.589883
65	0.067406	7500	-1.625854	-238.215737
66	0.062558	7500	-1.569870	-239.785608
67	0.057926	7500	-1.512274	-241.297881
68	0.053506	7500	-1.443182	-242.741064
69	0.049295	7500	-1.402982	-244.144045
70	0.045289	7500	-1.320870	-245.464916
71	0.041485	7500	-1.270178	-246.735094
72	0.037880	7500	-1.226370	-247.961464
73	0.034469	7500	-1.151707	-249.113171
74	0.031250	7500	-1.097311	-250.210482
75	0.028218	7500	-1.036951	-251.247432
76	0.025370	7500	-0.975782	-252.223214
77	0.022702	7500	-0.932933	-253.156147
78	0.020209	7500	-0.875089	-254.031236
79	0.017889	7500	-0.806148	-254.837383
80	0.015736	7500	-0.759429	-255.596813
81	0.013746	7500	-0.714797	-256.311609
82	0.011916	7500	-0.656482	-256.968092
83	0.010240	7500	-0.597051	-257.565143
84	0.008714	7500	-0.552237	-258.117380
85	0.007334	7500	-0.500674	-258.618054
86	0.006093	7500	-0.448043	-259.066097
87	0.004988	7500	-0.403361	-259.469458
88	0.004013	7500	-0.354983	-259.824441
89	0.003162	7500	-0.309308	-260.133749
90	0.002430	7500	-0.273326	-260.407075
91	0.001810	7500	-0.226770	-260.633845
92	0.001296	7500	-0.189345	-260.823190
93	0.000882	7500	-0.154312	-260.977502
94	0.000559	7500	-0.118064	-261.095565
95	0.000320	7500	-0.088380	-261.183946
96	0.000156	7500	-0.059506	-261.243452
97	0.000057	7500	-0.037084	-261.280536
98	0.000010	7500	-0.016853	-261.297389
99	0.000000	7500	-0.003665	-261.301054
Log marginal likelihood:	-261.301054
