Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-5.346335	-5.346335
1	0.950747	7500	-5.343509	-10.689844
2	0.926679	7500	-5.244633	-15.934477
3	0.902980	7500	-5.148688	-21.083165
4	0.879648	7500	-5.083890	-26.167054
5	0.856682	7500	-5.054204	-31.221259
6	0.834079	7500	-4.933099	-36.154357
7	0.811838	7500	-4.893810	-41.048167
8	0.789957	7500	-4.793021	-45.841188
9	0.768433	7500	-4.743407	-50.584595
10	0.747266	7500	-4.661503	-55.246099
11	0.726452	7500	-4.611475	-59.857574
12	0.705989	7500	-4.515408	-64.372982
13	0.685877	7500	-4.478243	-68.851225
14	0.666112	7500	-4.427651	-73.278876
15	0.646693	7500	-4.322956	-77.601832
16	0.627618	7500	-4.320582	-81.922414
17	0.608884	7500	-4.258393	-86.180808
18	0.590490	7500	-4.175445	-90.356253
19	0.572433	7500	-4.094969	-94.451222
20	0.554712	7500	-4.039442	-98.490664
21	0.537324	7500	-3.985385	-102.476049
22	0.520268	7500	-3.890141	-106.366189
23	0.503540	7500	-3.846750	-110.212939
24	0.487139	7500	-3.793688	-114.006627
25	0.471063	7500	-3.740132	-117.746759
26	0.455310	7500	-3.676808	-121.423567
27	0.439877	7500	-3.612648	-125.036215
28	0.424762	7500	-3.560565	-128.596780
29	0.409963	7500	-3.473491	-132.070270
30	0.395478	7500	-3.431321	-135.501591
31	0.381305	7500	-3.390065	-138.891656
32	0.367440	7500	-3.322539	-142.214195
33	0.353883	7500	-3.244324	-145.458519
34	0.340630	7500	-3.189255	-148.647774
35	0.327680	7500	-3.143882	-151.791656
36	0.315030	7500	-3.099057	-154.890713
37	0.302677	7500	-3.033700	-157.924413
38	0.290619	7500	-2.980756	-160.905169
39	0.278855	7500	-2.918422	-163.823591
40	0.267381	7500	-2.842518	-166.666109
41	0.256195	7500	-2.798853	-169.464962
42	0.245294	7500	-2.739335	-172.204297
43	0.234677	7500	-2.684893	-174.889190
44	0.224340	7500	-2.639664	-177.528854
45	0.214281	7500	-2.588088	-180.116942
46	0.204498	7500	-2.513954	-182.630896
47	0.194988	7500	-2.458710	-185.089606
48	0.185749	7500	-2.420153	-187.509759
49	0.176777	7500	-2.355901	-189.865660
50	0.168070	7500	-2.308288	-192.173948
51	0.159626	7500	-2.255937	-194.429885
52	0.151441	7500	-2.189588	-196.619474
53	0.143514	7500	-2.148475	-198.767948
54	0.135841	7500	-2.106080	-200.874029
55	0.128420	7500	-2.029283	-202.903312
56	0.121247	7500	-1.991426	-204.894738
57	0.114320	7500	-1.925657	-206.820395
58	0.107637	7500	-1.878302	-208.698697
59	0.101193	7500	-1.827422	-210.526119
60	0.094986	7500	-1.763574	-212.289693
61	0.089014	7500	-1.712800	-214.002494
62	0.083273	7500	-1.645167	-215.647660
63	0.077760	7500	-1.594148	-217.241808
64	0.072472	7500	-1.543974	-218.785782
65	0.067406	7500	-1.495035	-220.280817
66	0.062558	7500	-1.427989	-221.708806
67	0.057926	7500	-1.389585	-223.098391
68	0.053506	7500	-1.330830	-224.429222
69	0.049295	7500	-1.263537	-225.692759
70	0.045289	7500	-1.220217	-226.912976
71	0.041485	7500	-1.164579	-228.077555
72	0.037880	7500	-1.123254	-229.200809
73	0.034469	7500	-1.070067	-230.270876
74	0.031250	7500	-1.009598	-231.280474
75	0.028218	7500	-0.959597	-232.240071
76	0.025370	7500	-0.902141	-233.142212
77	0.022702	7500	-0.852771	-233.994983
78	0.020209	7500	-0.805036	-234.800019
79	0.017889	7500	-0.755972	-235.555991
80	0.015736	7500	-0.701908	-236.257899
81	0.013746	7500	-0.654076	-236.911975
82	0.011916	7500	-0.596304	-237.508279
83	0.010240	7500	-0.549524	-238.057803
84	0.008714	7500	-0.500314	-238.558117
85	0.007334	7500	-0.463008	-239.021126
86	0.006093	7500	-0.415442	-239.436568
87	0.004988	7500	-0.373891	-239.810458
88	0.004013	7500	-0.330882	-240.141340
89	0.003162	7500	-0.286227	-240.427567
90	0.002430	7500	-0.249797	-240.677364
91	0.001810	7500	-0.212995	-240.890359
92	0.001296	7500	-0.175156	-241.065515
93	0.000882	7500	-0.143627	-241.209141
94	0.000559	7500	-0.111018	-241.320159
95	0.000320	7500	-0.082700	-241.402859
96	0.000156	7500	-0.056882	-241.459740
97	0.000057	7500	-0.033831	-241.493571
98	0.000010	7500	-0.016089	-241.509660
99	0.000000	7500	-0.003391	-241.513051
Log marginal likelihood:	-241.513051
