Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-5.254208	-5.254208
1	0.950747	7500	-5.180548	-10.434756
2	0.926679	7500	-5.054104	-15.488860
3	0.902980	7500	-4.982978	-20.471837
4	0.879648	7500	-4.949416	-25.421254
5	0.856682	7500	-4.868450	-30.289704
6	0.834079	7500	-4.779075	-35.068779
7	0.811838	7500	-4.709341	-39.778120
8	0.789957	7500	-4.630933	-44.409053
9	0.768433	7500	-4.559632	-48.968685
10	0.747266	7500	-4.492038	-53.460723
11	0.726452	7500	-4.409533	-57.870255
12	0.705989	7500	-4.403760	-62.274015
13	0.685877	7500	-4.270954	-66.544969
14	0.666112	7500	-4.234774	-70.779743
15	0.646693	7500	-4.161053	-74.940796
16	0.627618	7500	-4.112287	-79.053082
17	0.608884	7500	-4.052187	-83.105269
18	0.590490	7500	-4.013774	-87.119043
19	0.572433	7500	-3.914298	-91.033341
20	0.554712	7500	-3.820007	-94.853347
21	0.537324	7500	-3.812107	-98.665455
22	0.520268	7500	-3.723021	-102.388476
23	0.503540	7500	-3.678992	-106.067468
24	0.487139	7500	-3.600189	-109.667657
25	0.471063	7500	-3.541939	-113.209596
26	0.455310	7500	-3.481117	-116.690713
27	0.439877	7500	-3.422360	-120.113073
28	0.424762	7500	-3.383188	-123.496260
29	0.409963	7500	-3.302740	-126.799000
30	0.395478	7500	-3.277293	-130.076293
31	0.381305	7500	-3.228347	-133.304641
32	0.367440	7500	-3.155244	-136.459884
33	0.353883	7500	-3.095381	-139.555265
34	0.340630	7500	-3.040815	-142.596081
35	0.327680	7500	-2.952821	-145.548901
36	0.315030	7500	-2.922032	-148.470933
37	0.302677	7500	-2.868162	-151.339095
38	0.290619	7500	-2.811697	-154.150792
39	0.278855	7500	-2.768816	-156.919609
40	0.267381	7500	-2.722251	-159.641860
41	0.256195	7500	-2.644836	-162.286696
42	0.245294	7500	-2.597779	-164.884475
43	0.234677	7500	-2.550707	-167.435183
44	0.224340	7500	-2.492863	-169.928046
45	0.214281	7500	-2.444209	-172.372254
46	0.204498	7500	-2.389066	-174.761320
47	0.194988	7500	-2.338405	-177.099726
48	0.185749	7500	-2.294266	-179.393992
49	0.176777	7500	-2.234002	-181.627994
50	0.168070	7500	-2.185202	-183.813196
51	0.159626	7500	-2.128657	-185.941853
52	0.151441	7500	-2.081505	-188.023358
53	0.143514	7500	-2.034865	-190.058223
54	0.135841	7500	-1.979003	-192.037226
55	0.128420	7500	-1.930352	-193.967578
56	0.121247	7500	-1.874499	-195.842077
57	0.114320	7500	-1.830405	-197.672481
58	0.107637	7500	-1.775275	-199.447756
59	0.101193	7500	-1.721903	-201.169660
60	0.094986	7500	-1.678976	-202.848635
61	0.089014	7500	-1.628234	-204.476869
62	0.083273	7500	-1.576393	-206.053262
63	0.077760	7500	-1.525034	-207.578297
64	0.072472	7500	-1.475062	-209.053359
65	0.067406	7500	-1.425804	-210.479162
66	0.062558	7500	-1.376602	-211.855765
67	0.057926	7500	-1.328569	-213.184334
68	0.053506	7500	-1.273903	-214.458237
69	0.049295	7500	-1.225186	-215.683423
70	0.045289	7500	-1.185248	-216.868671
71	0.041485	7500	-1.131977	-218.000648
72	0.037880	7500	-1.078911	-219.079559
73	0.034469	7500	-1.029900	-220.109459
74	0.031250	7500	-0.994502	-221.103961
75	0.028218	7500	-0.931358	-222.035319
76	0.025370	7500	-0.880699	-222.916018
77	0.022702	7500	-0.831290	-223.747308
78	0.020209	7500	-0.783800	-224.531108
79	0.017889	7500	-0.736658	-225.267765
80	0.015736	7500	-0.689166	-225.956932
81	0.013746	7500	-0.641272	-226.598204
82	0.011916	7500	-0.589147	-227.187351
83	0.010240	7500	-0.548885	-227.736236
84	0.008714	7500	-0.501787	-228.238024
85	0.007334	7500	-0.459144	-228.697168
86	0.006093	7500	-0.416397	-229.113565
87	0.004988	7500	-0.370053	-229.483617
88	0.004013	7500	-0.328526	-229.812143
89	0.003162	7500	-0.286324	-230.098468
90	0.002430	7500	-0.250983	-230.349451
91	0.001810	7500	-0.211766	-230.561217
92	0.001296	7500	-0.176200	-230.737416
93	0.000882	7500	-0.141128	-230.878544
94	0.000559	7500	-0.109676	-230.988220
95	0.000320	7500	-0.081430	-231.069650
96	0.000156	7500	-0.055522	-231.125171
97	0.000057	7500	-0.034125	-231.159296
98	0.000010	7500	-0.016149	-231.175445
99	0.000000	7500	-0.003419	-231.178864
Log marginal likelihood:	-231.178864
